n,k,alg,J_mean,gap_bp_mean,gap_bp_max,sharpe_train_mean,sharpe_test_mean,runtime_s_mean
20,5,oracle,-5.076420141130807e-05,0.0,0.0,0.9039598238881636,0.6161729728932624,0.005953119974583388
20,5,SA-1ch-10k,-5.076420141130807e-05,0.0,0.0,0.9039598238881636,0.6161729728932624,0.08481446001678705
20,5,greedy,-5.527143694764804e-05,0.04507235536339969,0.1168570612350157,0.8649164177839591,0.6157105734556564,0.0006304799811914563
20,5,lasso,-0.0006762012186586281,6.2543701724732,11.350739935719744,0.6819149208608521,0.4562035774745965,0.019605679949745537
20,5,top-eig,-0.0014489660196762406,13.982018182649323,19.416694886668637,0.4652174521883013,0.7206975420481883,0.0001479600090533495
30,5,oracle,6.806248614996326e-05,0.0,0.0,0.9902756833940497,0.47600690337627805,0.06670140002388507
30,5,SA-1ch-10k,6.806248614996326e-05,0.0,0.0,0.9902756833940497,0.47600690337627805,0.07840286002028733
30,5,greedy,6.676826516272273e-05,0.012942209872405208,0.06471104936202604,0.9701158614942298,0.5628085221105852,0.0008708200184628367
30,5,lasso,-0.00039697482482677386,4.650373109767371,8.972464845438212,0.8298472392949445,0.4318027763571344,0.021043940004892646
30,5,top-eig,-0.0015957874609587035,16.638499471086668,19.789593720295475,0.481985618170259,0.6307415535332763,0.00022464003413915634
30,8,oracle,8.719226051995274e-05,0.0,0.0,1.0078215982741243,0.46348752764134443,3.487213720032014
30,8,SA-1ch-10k,8.719226051995274e-05,0.0,0.0,1.0078215982741243,0.46348752764134443,0.07622573999688029
30,8,greedy,8.588051970009399e-05,0.013117408198587551,0.06558704099293776,0.9954711520014994,0.6840431246165453,0.001183599978685379
30,8,lasso,-0.00030707295681328694,3.9426521733323967,5.145538707169063,0.7607026197600232,0.37845976800862874,0.020446899975650013
30,8,top-eig,-0.0009658330581066826,10.530253186266354,14.524646122421295,0.5720979840137248,0.40596930983052903,0.0001845399849116802
40,5,oracle,0.00014028001970693233,0.0,0.0,1.0863938049276824,0.538943363763077,0.23065960004460068
40,5,SA-1ch-10k,0.00014028001970693233,0.0,0.0,1.0863938049276824,0.538943363763077,0.07270443998277187
40,5,greedy,0.0001390357770817086,0.01244242625223716,0.0335984767012667,1.0871359764985051,0.5593604948584432,0.0010911600198596715
40,5,lasso,-0.0006689747185171238,8.09254738224056,12.991856053160637,0.7812486891746714,0.6428728179375666,0.011860179994255305
40,5,top-eig,-0.0020449409155498407,21.852209352567733,25.226729843376948,0.3004530874169669,0.8017285236852505,0.00022358000278472901
50,5,oracle,0.00015961522269442274,0.0,0.0,1.1585766159724393,0.7084893915597892,0.7519544600276277
50,5,SA-1ch-10k,0.00015961522269442274,0.0,0.0,1.1585766159724393,0.7084893915597892,0.07501818002201617
50,5,greedy,0.00014901570259669492,0.10599520097727821,0.25174183520926197,1.1290922637843204,0.7107563938205725,0.0014113600365817547
50,5,lasso,-0.0008971015496575402,10.567167723519628,23.260282118347614,0.7848176832938025,0.5844357772686049,0.025463879969902337
50,5,top-eig,-0.002025817527994982,21.854327506894048,36.49981606939972,0.4106851629096296,0.6527785235398885,0.00026772001292556523
